book_author,author_desc,author_picture_url
Henry Petroski,"Henry Petroski (February 6, 1942) is an American engineer specializing in failure analysis. A professor both of civil engineering and history at Duke University, he is also a prolific author. Petroski has written over a dozen books – beginning with To Engineer is Human: The Role of Failure in Successful Design (1985) and including a number of titles detailing the industrial design history of common, everyday objects, such as pencils, paper clips, toothpicks, and silverware. His first book was made into the film When Engineering Fails. He is a frequent lecturer and a columnist for the magazines American Scientist and Prism.",https://upload.wikimedia.org/wikipedia/commons/d/dc/Henry_Petroski_Photo.jpg
Sian Griffiths,Author not found,
John Flood,"John Flood may refer to:

John Flood (academic), UK-Australian legal sociologist
John Flood (cricketer) (1883–1929), Australian born, Irish cricketer
John Flood (footballer, born 1932), English footballer with Southampton and Bournemouth
John Flood (footballer, born 1960), Scottish footballer with Sheffield United, Airdrieonians and Partick Thistle
John Joe Flood (1899–1982), Irish footballer
John H. Flood (1939–2016), Massachusetts sheriff and politician
John H. Flood Jr. (1878–1958), mining engineer and unpublished Wyatt Earp biographer",
John Marks,"John Marks may refer to:

John E. Marks (born 1951), British poet
John Marks (businessman) (1916–1982), business investor - refer Lend Lease Communities
John Marks (mayor) (born 1947), mayor of Tallahassee, Florida
John Marks (ice hockey) (born 1948), NHL player
John Marks (tennis) (born 1952), Australian tennis player
John B. Marks (1777–1872), political figure in Upper Canada
John D. Marks (born 1943), author, and founder and president of Search for Common Ground
John Marks (doctor) (1925–2022), chairman of the British Medical Association
Johnny Marks (1909–1985), American songwriter
John H. P. Marks (1908–1967), writer and translator
John Marks (Australian politician) (1827–1885), Australian farmer and politician
John L. Marks, American football coach
John Christian (musician) (born 1981), Dutch dj, formerly known as John Marks",
Robert S. McNamara,,
Gabriel Garcia Marquez,,
Robert Fulghum,"Robert Lee Fulghum ( (listen); born June 4, 1937) is an American author and Unitarian Universalist minister.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Robert_Fulghum.jpg/200px-Robert_Fulghum.jpg
John Walsh,John Walsh may refer to the following people:,
Larry Dark,"Larry Dark has been the director of The Story Prize—a U.S. book award for short story collections—since its inception in 2004. He served as series editor of the O. Henry Awards for the 1997–2002 volumes. He has also compiled, edited, and introduced four other literary anthologies.",
Bathroom Readers' Institute,,
M. M. Kaye,Mary Margaret ('Mollie') Kaye (21 August 1908 – 29 January 2004) was a British writer. Her most famous book is The Far Pavilions (1978).,
Alan Paton,"Alan Stewart Paton (11 January 1903 – 12 April 1988) was a South African writer and anti-apartheid activist. His works include the novels Cry, the Beloved Country, Too Late the Phalarope and the narrative poem The Wasteland.

",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Alan_Paton.jpg/200px-Alan_Paton.jpg
Tony Parsons,"Tony or Anthony Parsons may refer to:

Tony Parsons (Canadian journalist) (born 1939), Canadian news anchor
Tony Parsons (British journalist) (born 1953), novelist and arts critic
Tony Parsons, TV series character, see list of past Coronation Street characters
Antony Parsons, 2014 World Snooker Championship
Anthony Parsons (9 September 1922 – 12 August 1996), British diplomat
Anthony Parsons (musician) (born 1989), English singer-songwriter
Tony Parsons (Australian author) (born 1931), Australian author",
Francess Lantz,"Francess Lin Lantz (August 27, 1952 – November 22, 2004) was an American children's librarian turned fiction writer.",
